ファイル名	タイトル	翻訳結果	想定Slug
2021-12-11_seven-elevenoptimalfoodlinear-programming.md	セブンイレブンで最適な食品を線形計画法を用いて決めたい	I want to use linear programming to determine the best food items at 7-Eleven.	linear-programming-optimal-food-7eleven
2022-01-27_reiwa-3-yearfall-fundamental-information-technology-engineer-passexperience.md	令和3年度秋 基本情報技術者試験 合格体験記	Fall 2021 Fundamental Information Technology Engineer Examination Passing Experience	fite-exam-pass-experience-2021-fall
2022-11-11_mysqlcsvfiledbimportdo.md	【MySQL】CSVファイルをDBにインポートする	[MySQL] Importing a CSV file into a database	mysql-import-csv-to-db
2022-11-12_python-beautifulsoup-findfind-all.md	Python BeautifulSoup find()を呼び出すつもりが、find_all()を呼び出してしまったのでしょうか？	Python BeautifulSoup Did you mean to call find() but end up calling find_all() instead?	python-beautifulsoup-find-vs-find-all
2022-11-23_java-compilenot.md	Java コンパイルができない	Unable to compile Java	java-cannot-compile
2022-11-28_pyautogui-image-recognitionscale-ratio.md	PyAutoGUI 画像認識と拡大比率の問題	PyAutoGUI Image recognition and magnification ratio issue	pyautogui-image-recognition-scale
2022-12-03_readable-code.md	リーダブルコードの個人的重要部分をざっくりまとめてみた	A rough summary of the important parts of readable code for me	readable-code-important-summary
2022-12-23_2022-yearfall-applied-information-technology-engineernonpassexperience.md	2022年秋 応用情報技術者試験"不"合格体験記	Fall 2022 Applied Information Technology Engineer Examination "Fail" Pass Experience	applied-it-exam-fail-experience-2022-fall
2023-01-22_notehealthstresslightwake-up.md	【雑記】これ以上心臓に負荷をかけるな【光で目覚めよう】	[Miscellaneous] Don't put any more strain on your heart [Wake up with the light]	dont-stress-heart-wake-up-light
2023-02-06_tech-bookreading-technique.md	技術書の読書術をざっくり読んで個人的に重要な部分をまとめてみた。	I quickly read through the book on how to read technical books and summarized the parts that I personally found important.	technical-reading-important-summary
2023-02-15_django-templatetagwhitespace.md	Django テンプレートタグに空白を入れると認識してくれません	Django template tags are not recognized if they contain spaces	django-template-tags-space-issue
2023-02-19_excel-notusefultips-3.md	Excel メジャーじゃないけど知っておくと便利な小技3選	3 Tips for Excel that aren't major but are useful to know	excel-small-tips-3
2023-03-27_pythonpyautogui-routine-workautomationtry.md	【Python】pyautogui入門 -定型作業を自動化してみる-	[Python] Introduction to pyautogui - Automating routine tasks -	python-pyautogui-automation-intro
2023-04-01_anacondasystem-environment-variablessettingsbecome.md	Anacondaはシステム環境変数の設定方法が異なるらしい	Anaconda seems to have a different way of setting system environment variables	anaconda-env-var-settings
2023-04-02_pythonnlpdiscord-pynegativeworddobot.md	【Python】初めての自然言語処理？discord.pyでネガティブな単語に反応するbotを作ってみた。	[Python] My first natural language processing? I created a bot that responds to negative words using discord.py.	python-discordpy-nlp-negative-bot
2023-04-23_pythonpyautogui-kindlehighlightdeletetry.md	【Python】pyautogui入門 -Kindleのハイライトを削除してみる-	[Python] Introduction to pyautogui - Trying to remove highlights from Kindle -	python-pyautogui-remove-kindle-highlight
2023-05-02_mercarishopsrelistefficiency.md	メルカリShopsの再出品があまりにもだるすぎたので効率化してみた	Relisting items on Mercari Shops was so tedious, I tried to streamline it	mercari-shops-relisting-automation
2023-05-28_chatgptsummarize.md	【ChatGPT】今更だけど本を要約してもらった	[ChatGPT] It's a little late, but I got a summary of the book	chatgpt-book-summary
2023-06-10_reactfrontendrandomramen-jiro.md	【React】初めてのフロントエンド〜ランダムで今日行くラーメン二郎を決めてもらう〜	[React] My first frontend: Randomly decide which Ramen Jiro to go to today	react-random-ramen-jiro
2023-07-01_react-flaskintegrationtry.md	React + Flaskを連携させてみる	Let's integrate React and Flask	react-flask-integration
2023-07-09_reactflaskintegrationtry-part-2.md	ReactとFlaskを連携させてみる part2	Integrating React and Flask part 2	react-flask-integration-part2
2023-08-11_typescript-interfacetypeuse.md	TypeScript interfaceとtypeどっち使うんですか？	TypeScript: Which should I use, interface or type?	typescript-interface-vs-type
2023-08-12_seleniumdetection.md	Seleniumが本当にバレバレなのか試してみた	I tried to see if Selenium is really obvious	is-selenium-detectable-test
2023-08-18_tight-couplingloose-couplingunderstanding.md	密結合と疎結合の理解を深める	Deepen your understanding of tight and loose coupling	tight-vs-loose-coupling
2023-08-20_typescriptcallbackfunctionknow.md	TypeScriptでコールバック関数を知る	Learn about callback functions in TypeScript	typescript-callback-function
2023-08-26_ramen-jirolearngoodalgorithmgptteachertry.md	ラーメン二郎のコールで学ぶ良いアルゴリズムとは何かをGPT先生に聞いてみる	Asking GPT Sensei what a good algorithm is to learn from Ramen Jiro's call	ramen-jiro-call-good-algorithm
2023-08-27_postman-localhostrequestsendnot.md	Postman localhostにリクエストが送信できない	Postman unable to send request to localhost	postman-cannot-request-localhost
2023-09-18_angularpracticefunabashipopulation-transitiongraph.md	Angularの練習ということで船橋市の人口推移グラフを作ってみた	As an Angular practice, I made a population graph for Funabashi City	angular-funabashi-population-graph
2023-10-09_booknotiongreat-app-1.md	BookNotionを更に神アプリにしたい その１	I want to make BookNotion an even better app. Part 1	booknotion-improvement-part1
2023-10-14_booknotionbirth.md	自分だけのBookNotionを爆誕させた	I created my own BookNotion	booknotion-custom-build
2023-10-29_personal-developmentminase-inorilivenotsonglist-displaydo.md	【個人開発】水瀬いのりさんのライブで聴いたことのない曲を一覧表示するぞ	[Personal Development] List of songs you haven't heard at Minase Inori's concerts	minase-inori-live-song-list-app
