```tsv
ファイル名	現在のslug	タイトル	翻訳結果
2021-12-11_seven-elevenoptimalfoodlinear-programming.md	seven-elevenoptimalfoodlinear-programming	セブンイレブンで最適な食品を線形計画法を用いて決めたい	I want to use linear programming to determine the best food items at 7-Eleven.
2022-01-27_reiwa-3-yearfall-fundamental-information-technology-engineer-passexperience.md	reiwa-3-yearfall-fundamental-information-technology-engineer-passexperience	令和3年度秋 基本情報技術者試験 合格体験記	Fall 2021 Fundamental Information Technology Engineer Examination Passing Experience
2022-11-11_mysqlcsvfiledbimportdo.md	mysqlcsvfiledbimportdo	【MySQL】CSVファイルをDBにインポートする	[MySQL] Importing a CSV file into a database
2022-11-12_python-beautifulsoup-findfind-all.md	python-beautifulsoup-findfind-all	Python BeautifulSoup find()を呼び出すつもりが、find_all()を呼び出してしまったのでしょうか？	Python BeautifulSoup Did you mean to call find() but end up calling find_all() instead?
2022-11-23_java-compilenot.md	java-compilenot	Java コンパイルができない	Unable to compile Java
2022-11-28_pyautogui-image-recognitionscale-ratio.md	pyautogui-image-recognitionscale-ratio	PyAutoGUI 画像認識と拡大比率の問題	PyAutoGUI Image recognition and magnification ratio issue
2022-12-03_readable-code.md	readable-code	リーダブルコードの個人的重要部分をざっくりまとめてみた	A rough summary of the important parts of readable code for me
2022-12-23_2022-yearfall-applied-information-technology-engineernonpassexperience.md	2022-yearfall-applied-information-technology-engineernonpassexperience	2022年秋 応用情報技術者試験"不"合格体験記	Fall 2022 Applied Information Technology Engineer Examination "Fail" Pass Experience
2023-01-22_notehealthstresslightwake-up.md	notehealthstresslightwake-up	【雑記】これ以上心臓に負荷をかけるな【光で目覚めよう】	[Miscellaneous] Don't put any more strain on your heart [Wake up with the light]
2023-02-06_tech-bookreading-technique.md	tech-bookreading-technique	技術書の読書術をざっくり読んで個人的に重要な部分をまとめてみた。	I quickly read through the book on how to read technical books and summarized the parts that I personally found important.
2023-02-15_django-templatetagwhitespace.md	django-templatetagwhitespace	Django テンプレートタグに空白を入れると認識してくれません	Django template tags are not recognized if they contain spaces
2023-02-19_excel-notusefultips-3.md	excel-notusefultips-3	Excel メジャーじゃないけど知っておくと便利な小技3選	3 Tips for Excel that aren't major but are useful to know
2023-03-27_pythonpyautogui-routine-workautomationtry.md	pythonpyautogui-routine-workautomationtry	【Python】pyautogui入門 -定型作業を自動化してみる-	[Python] Introduction to pyautogui - Automating routine tasks -
2023-04-01_anacondasystem-environment-variablessettingsbecome.md	anacondasystem-environment-variablessettingsbecome	Anacondaはシステム環境変数の設定方法が異なるらしい	Anaconda seems to have a different way of setting system environment variables
2023-04-02_pythonnlpdiscord-pynegativeworddobot.md	pythonnlpdiscord-pynegativeworddobot	【Python】初めての自然言語処理？discord.pyでネガティブな単語に反応するbotを作ってみた。	[Python] My first natural language processing? I created a bot that responds to negative words using discord.py.
2023-04-23_pythonpyautogui-kindlehighlightdeletetry.md	pythonpyautogui-kindlehighlightdeletetry	【Python】pyautogui入門 -Kindleのハイライトを削除してみる-	[Python] Introduction to pyautogui - Trying to remove highlights from Kindle -
2023-05-02_mercarishopsrelistefficiency.md	mercarishopsrelistefficiency	メルカリShopsの再出品があまりにもだるすぎたので効率化してみた	Relisting items on Mercari Shops was so tedious, I tried to streamline it.
2023-05-28_chatgptsummarize.md	chatgptsummarize	【ChatGPT】今更だけど本を要約してもらった	[ChatGPT] It's a little late, but I got a summary of the book
2023-06-10_reactfrontendrandomramen-jiro.md	reactfrontendrandomramen-jiro	【React】初めてのフロントエンド〜ランダムで今日行くラーメン二郎を決めてもらう〜	[React] My first frontend: Randomly decide which Ramen Jiro to go to today
2023-07-01_react-flaskintegrationtry.md	react-flaskintegrationtry	React + Flaskを連携させてみる	Let's integrate React and Flask
2023-07-09_reactflaskintegrationtry-part-2.md	reactflaskintegrationtry-part-2	ReactとFlaskを連携させてみる part2	Integrating React and Flask part 2
2023-08-11_typescript-interfacetypeuse.md	typescript-interfacetypeuse	TypeScript interfaceとtypeどっち使うんですか？	TypeScript: Which should I use, interface or type?
2023-08-12_seleniumdetection.md	seleniumdetection	Seleniumが本当にバレバレなのか試してみた	I tried to see if Selenium is really obvious.
2023-08-18_tight-couplingloose-couplingunderstanding.md	tight-couplingloose-couplingunderstanding	密結合と疎結合の理解を深める	Deepen your understanding of tight and loose coupling
2023-08-20_typescriptcallbackfunctionknow.md	typescriptcallbackfunctionknow	TypeScriptでコールバック関数を知る	Learn about callback functions in TypeScript
2023-08-26_ramen-jirolearngoodalgorithmgptteachertry.md	ramen-jirolearngoodalgorithmgptteachertry	ラーメン二郎のコールで学ぶ良いアルゴリズムとは何かをGPT先生に聞いてみる	Asking GPT Sensei what a good algorithm is to learn from Ramen Jiro's call
2023-08-27_postman-localhostrequestsendnot.md	postman-localhostrequestsendnot	Postman localhostにリクエストが送信できない	Postman unable to send request to localhost
2023-09-18_angularpracticefunabashipopulation-transitiongraph.md	angularpracticefunabashipopulation-transitiongraph	Angularの練習ということで船橋市の人口推移グラフを作ってみた	As an Angular practice, I made a population graph for Funabashi City.
2023-10-09_booknotiongreat-app-1.md	booknotiongreat-app-1	BookNotionを更に神アプリにしたい その１	I want to make BookNotion an even better app. Part 1
2023-10-14_booknotionbirth.md	booknotionbirth	自分だけのBookNotionを爆誕させた	I created my own BookNotion
2023-10-29_personal-developmentminase-inorilivenotsonglist-displaydo.md	personal-developmentminase-inorilivenotsonglist-displaydo	【個人開発】水瀬いのりさんのライブで聴いたことのない曲を一覧表示するぞ	[Personal Development] List of songs you haven't heard at Minase Inori's concerts
2023-12-23_10-％probabilitydohnotpokemongeneratesite.md	10-％probabilitydohnotpokemongeneratesite	１０％の確率でドオーしか表示されないポケモン生成サイトを作った	I made a Pokemon generator that has a 10% chance of only displaying Doo.
2023-12-29_・dark-patternshadcn-uicreatedo.md	・dark-patternshadcn-uicreatedo	ザ・ダークパターンをshadcn/uiで作成する	Creating The Dark Pattern with shadcn/ui
2024-01-03_nextjs-13-deployapipathdynamic.md	nextjs-13-deployapipathdynamic	Next.js13 デプロイ時にAPIのパスを動的に変えるやり方	Next.js13 How to dynamically change API path during deployment
2024-01-07_nonsensetextgeneratedoapp.md	nonsensetextgeneratedoapp	支離滅裂な文章を生成するアプリ	An app that generates incoherent sentences
2024-01-21_fastapiiduuidsettingsdotype-definition.md	fastapiiduuidsettingsdotype-definition	【FastAPI】idをuuidで設定するときは型定義に気をつけたい	[FastAPI] When setting id as uuid, be careful of type definition
2024-02-23_google-places-api-newlanguage-codesettingstrouble.md	google-places-api-newlanguage-codesettingstrouble	Google Places API (New)で言語コードを設定せず沼りかけた	I almost got stuck without setting the language code in Google Places API (New)
2024-03-17_sqlalchemy-pytestruntime-error:-event-loop-is-closed.md	sqlalchemy-pytestruntime-error:-event-loop-is-closed	SQLAlchemy + pytestでRuntimeError: Event loop is closedが起きたときにやったこと	What I did when I got RuntimeError: Event loop is closed in SQLAlchemy + pytest
2024-04-08_real-estateinformationliveapitry.md	real-estateinformationliveapitry	不動産情報ライブラリAPIを使ってみる！	Try using the Real Estate Information Library API!
2024-04-27_convenience-storesweetsrandomdoline-bot.md	convenience-storesweetsrandomdoline-bot	コンビニスイーツをランダムに表示するLINE BOTをつくる	Create a LINE BOT that randomly displays convenience store sweets
2025-01-03_2025-yeardailybed-making.md	2025-yeardailybed-making	2025年は毎日ベッドメイキングだけやればいい。	In 2025, all you need to do is make your bed every day.
2024-04-18_honorandomdoline-botmake.md	honorandomdoline-botmake	Honoでランダムにアイスクリームを提案するLINE BOTを作る	Create a LINE BOT that randomly suggests ice cream using Hono
2024-06-13_vitegooglechromedevelopment.md	vitegooglechromedevelopment	Viteで始めるGoogleChrome拡張機能開発	Start developing Google Chrome extensions with Vite
2024-06-15_understandingdodi.md	understandingdodi	手を動かして理解しようとするDI（依存性の注入）	Understanding DI (Dependency Injection) through hands-on experience
2024-07-06_hono-diinversifyjsdo.md	hono-diinversifyjsdo	Hono + DIでInversifyJSを使用する	Using InversifyJS with Hono + DI
2024-07-08_hono-service-bindings.md	hono-service-bindings	Hono Service bindings入門	Introduction to Hono Service bindings
2024-07-18_docker-postgresqlenvironment-setuplearn.md	docker-postgresqlenvironment-setuplearn	Docker + PostgreSQLで環境構築して、パーティションについて学ぶ	Build an environment with Docker + PostgreSQL and learn about partitions
